record_id;redcap_survey_identifier;cuestionario_final_pilotaje_plataforma_timestamp;satisfaccion;dispositivo;porque_elegido;utilizado_antes;ejemplo;plan;porque;beneficio;aspecto_concreto;recomendar;familiar;mi_progreso;valorar_figura;figura_progresion;figura_sugerencias;fichas_1;fichas_1_progresion;fichas_1_sugerencias;valoracion_fichas_2;progresion_fichas_2;fichas_2_sugerencias;valoracion_dibujo;progresion_dibujo;sugerencias_dibujo;valoracion_parejas;progresion_parejas;parejas_sugerencias;valoracion_simon;progresion_simon;sugerencias_simon;valoracion_cartas;progresion_cartas;sugerencias_cartas;valoracion_escenas;progresion_escenas;escenas_misma;escenas_sugerencias;valoracion_sopa;progresion_sopa;sugerencias_sopa;valoracion_anagramas;progresion_anagramas;sugerencias_anagramas;valoracion_logogramas;progresion_logogramas;sugerencias_logogramas;valoracion_refran;progresion_refran;refran_sugerencias;valoracion_secuencia_cartas;progresion_secuencia_cartas;secuencia_cartas_sugerencias;valoracion_secuencia;progresion_secuencia;secuencia_sugerencias;valoracion_calculo;progresion_calculo;secuencia_calculo;sugerencias_global;segunda_fase;cuestionario_final_pilotaje_plataforma_complete
23;CPDC8796;"2022-07-15 11:19:51";3;2;"para mi es mas cómodo";1;;3;"porque es positivo hacer los ejercicios";0;"en el cálculo mental concretamente";0;1;4;4;3;;4;3;;3;3;;4;4;;2;2;;0;0;"demasiado complicado retener la sucesión de colores.  en los últimos niveles, imposible";3;3;;2;2;0;"en los últimos niveles,bastante complicado";3;3;;2;2;"últimos niveles,muy complicado";3;3;;2;2;"que los refranes sean mas conocidos";0;0;"para mi resulta muy complicado";4;4;;4;4;;"suprimir la secuencia de baraja  suprimir Simón,muy difícil";0;2
24;CPDC9197;"2022-07-15 11:35:27";3;0;"por comodidad";1;;3;"soy más observadora";0;"en cálculo hacerlo mentalmente";0;0;0;4;4;;4;4;;4;4;;4;4;;4;4;;2;2;"me ha resultado difícil de seguir";3;2;"no siempre he comprendido la secuencia";3;3;1;"es demasiado preciso en el momento de marcar el lugar correspondiente para situar el objeto o la persona";3;3;"que reconozca las palabras buscadas en cualquier sitio que se formen";4;4;;4;4;;3;3;"no siempre reconoce el orden de las palabras";3;3;;4;4;;4;4;;"revisar las pequeñas observaciones hechas";0;2
25;CPDC4913;"2022-07-15 11:36:47";3;1;"Con la tableta es mas cómodo el uso, pero con el ordenador en más eficaz";0;"lumosity , wow, Newronation, wordmonger, wordlife, sudoku, brainzzz,...";4;"Te obliga seguir una pauta diaria, estimula la disciplina";1;"Sigo, olvidando las cosas, sigo con la falta de atención. sigo recordando mejor el pasado remoto que pasado reciente...";0;0;4;4;4;"Considero que la progresión d niveles esta bastante acertada.";4;4;"Esta bastante bien pensada para que en un tiempo limitado puedas distinguir y elegir caracteres adecuados.";4;4;"Para hacer este ejercicio hay que hacer una trampa,, para gente como yo con poca capacidad de memorización debería ir localizando de uno en uno la combinación de caracteres, porque cuando quieres abarcar mucho rindes poco,";4;4;"Es un buen ejercicio para distinguir las figuras simétrica y figura iguales, en mi caso yo, inconscientemente buscaba simetría entre las figuras y fallaba, hasta que me acostumbre en resolver el ejercicio sin fallar.";2;4;"Este ejercicio, a niveles bajos es muy agradable y fácil de hacer, a medida que se aumenta el nivel se convierte en un ejercicio odioso y desesperante :-(, pero esto es mi opinión.";3;4;"La misma opinión que punto anterior";3;4;"Igual opinión que los putos anteriores pero mas suave.";2;4;1;"Igual que puntos anteriores. reconozco que es un ejercicio muy bueno para esforzarse en utilizar la memoria, y mejorar la atención, dos cosas de las que carezco. ";4;4;"Un buen ejercicio para localizar palabras en diferentes direcciones.";4;4;"un buen ejercicio para pensar. aunque los tramposos pueden resolver este ejercicio fácilmente con ayuda de google.";4;4;"Buen ejercicio de entretenimiento";4;4;"Buen ejercicio de entretenimiento";4;4;"Muy buen ejercicio para la lógica, en este ejercicio interviene varios factores entre ellos secuencia de números y figuras, hay que tomar en cuenta todos ellos.";4;4;"Muy buen ejercicio para la lógica, en este ejercicio interviene varios factores entre ellos secuencia de números y colores, hay que tomar en cuenta todos ellos.";4;4;"Muy buen ejercicio matemático, en principio venia con algunos fallo que lo mencione, pero luego todo correcto y bien.";"En hora buena, lo único que puedo decir es daros las gracias y animaros que sigáis haciendo estas laboras con nosotros pero con un seguimiento para ver si ha dado fruto vuestros el esfuerzo. ";0;2
26;CPDC6689;"2022-07-15 11:47:11";3;2;"Se podía trabajar mejor, al tener mas pantalla  de visión.";1;Ninguno;3;"Me ha creado el habito de esforzarme ";0;"En el de la visualización mental,y de organización.";0;1;4;4;4;"Que se pueda realizar también secuencial";4;4;"sin comentario";4;4;Ninguno;4;4;"Un ejercicio me lo dio , que no lo había hecho bien";1;2;"Muy complicado, al final cometiendo muchos errores llegas a completarlo.";2;1;"El nivel 4 y siguientes no estaba muy bien explicado y se prestaba a confusión ,sin llegar a saber si repetía las secuencias o ya estaba contando el tiempo.  los 3 últimos niveles muy difíciles";2;3;Ninguno;3;3;1;"Algunas ocasiones por poco espacio de ubicación de los objetos y las personas  te daba erróneo, al final con muchos errores terminabas bien.";2;3;"Al principio me costo bastante , pero después de conseguir mejor la técnica de buscarlas me fue mejor.";2;2;"En los primeros niveles los pude hacer, pero a medida de ir aumentando me fue muy dificultoso,no llegando a terminar algunos.";1;1;"Este ejercicio es el que mas dificultad he tenido ,especialmente por el tiempo ya que algunas veces por un segundo no te daba por valido el ejercicio, lo cual te creaba  frustación y ansiedad y no continuar con el";4;3;"Bueno que alguno en los niveles altos no los había escuchado mucho";4;4;"Este ejercicio es el que mas me ha gustado y disfrutado con el.";4;4;"Simplemente prestar atención";4;4;"Escrito en un papel delante que significa cada color para no confundirte.";"En lenguaje no contabilizar tiempo con numero de palabras,es estresante al menos para mi";0;2
27;CPDC3836;"2022-07-15 11:55:20";3;0;"En cualquier momento y lugar puedo conectar";1;"Solo crucigramas o algún juego de cuatro en raya o solitarios";2;"Descubres esa necesidad que además entretiene";0;"atención, concienciación de que hay que ejercitar en lo posible la memoria, descubrí lagunas o dificultades en mi memoria, como la retención inmediata de imágenes, cálculo mental mejorable, etc.";0;0;4;2;3;"Es uno de los más sencillos del programa con un solo objeto que señalar";3;3;"Similar  al anterior, también es sencillo de realizar";3;4;"Similar a los dos anteriores, con un grado mayor de dificultad que lo hace más atractivo";3;3;"Es como el tercer grados de dificultad, aunque también resulta fácil su realización. Podría aumentar un poco su dificultad incorporando distintos colores a seleccionar.";4;4;"Su dificultad crece aumentando el número de parejas, y variando el contenido de las parejas";3;2;"La dificultad está en la capacidad de retención. Me pareció rápida la ejecución del modelo a replicar, comprendí mi dificultad de retención mental inmediata. También me pareció ( a mi en particular ) un salto demasiado de un nivel a otro.";3;3;"Creo que es un buen ejercicio de retención mental, que también me resultó dificultoso por mi escasa capacidad para retener en todos los casos las imágenes presentadas,";3;3;0;"Personalmente es uno de los que entraña mayor dificultad. Creo que los objetos o personajes que desaparecen de la escena lo hacen demasiado rápido, y que el TAMAÑO con que aparecen en la pantalla de selección de objetos desaparecidos no se corresponde con el tamaño correspondiente en la escena. Por lo demás me parece un ejercicio muy interesante. ";4;4;"Difícil de mejorar este clásico del mundo de los crucigramas, funciona muy bien.";3;3;"En los niveles iniciales se descubre la palabra enseguida, en el último nivel tardas bastante más, y en algún caso ni consigues dar con el resultado. Es un interesante ejercicio.";4;4;"Ejercicio interesante y entretenido, aunque para mi, en el último nivel, un poco justo en el tiempo, porque a veces, a falta de dos o tres palabras, he tenido que volver a realizarlo.";4;3;"No veo en que mejorarlo, solo la longitud del refrán, y su nivel de popularidad, junto con el tiempo de realización pueden aumentar su dificulad.";4;4;"Al descubrir en el último nivel el mecanismo de las secuencias, que al principio mi costó, luego ya los haces con cierta soltura.";4;4;"Es una excelente combinación de números, letras, colores y secuencias que te permite ejercitar la atención y concentración. ";4;4;"Permite perfectamente graduar su grado de dificultad aumentando el número de fichas en la secuencia.  ";"Permitirnos continuar practicando con ella un tiempo para ejercitarnos en la atención y en la memoria. ";0;2
28;CPDC5538;"2022-07-15 12:04:28";3;2;"Porque es más fácil que con el móvil";1;;3;"porqué ayuda a fijar la atención";0;"fijar la atención y evitar olvidos";0;0;4;4;3;"Sin aportaciones de mejora";4;4;"Ninguna sugerencia";4;;Ninguno;4;4;Ninguno;3;4;Ninguno;1;3;;3;4;;1;4;0;;4;4;;2;4;;1;3;"La única mejora es que el programa funcione. En mi caso, después de pasar tiempo tratando de hacer palabras, el programa no ha registrado mi actividad. Quizás es que mi ordenador está defectuoso.";4;4;;3;;;4;4;;4;4;;;0;2
29;CPDC5851;"2022-07-15 12:11:14";4;2;"no tengo otro";1;;4;"porque esta trabajando la memoria permanentemente";0;"no puedo explicar un aspecto en concreto, pero en general creo que si hay mejora";0;0;4;4;4;"para empezar, lo encuentro  agradable";4;4;bien;4;4;"muy interesante";3;3;"e ejercicio muy bueno y muy interesante         para mi un poco prpblematico debido a mi degeneracion  maculasr         ";4;4;"ejercicio muy bueno  hay que tener mucha memoria";4;2;"en los nobeles 5  6  muy duro";4;4;"muy  bueno";4;4;1;"no  esta muy acertad segun los niveles";4;4;"este es uno de los ejercicios que mas me han gustado";4;4;"muy bonito e interesabte,  hay que trabajar mucho con la cabeza";4;4;"como el ejercicio anterior,  pero muy poco tiempo";4;4;"muy, muy bueno";;;"ejercicio interesante en todos los niveles,  un poco alto en el sexto";;4;"muy nueno";4;4;;"he contestado antes a cada ejercicio";0;2
30;CPDC7778;"2022-07-15 13:20:13";4;2;"es el que me resulta más fácil";1;;4;"es un modo de tener continuidad";0;"es una manera de crear un hábito útil ";0;;3;4;4;;4;4;;4;4;;4;4;;4;4;;4;4;;;4;;4;4;1;;4;4;;4;4;;;4;;4;4;;;4;;4;4;;4;4;;"me parece bastante eficaz";0;2
31;CPDC3417;"2022-07-15 14:02:49";3;0;"por que es el que domino";1;"ninguna ";3;"por que he notado una pequeña mejoria";0;" variedad";0;0;0;4;4;;4;4;;4;4;;4;4;;3;3;;1;1;"los primeros nivelres los llevaba bien ,ya el 5 y el6 me cuestan";3;3;;0;0;0;"el movil no funcionaba la rotacion ";4;4;"algunas palabras no las cogia ";4;4;;2;2;;4;3;;4;4;;4;4;;0;0;"no lo entendi ";;0;2
32;CPDC7373;"2022-07-15 19:01:01";4;2;"Manejo mejor el teclado y la presentación me es más visible ";1;;3;"Se entrena la memoria";0;"Retención de datos que luego era capaz de recordar.";0;0;;3;3;;3;3;;3;3;;3;3;;4;4;;3;3;;4;4;;4;4;1;;3;3;;3;3;;3;3;;4;4;;4;4;;3;3;;4;4;;"No sabría decir creo el proyecto es correcto y bien estructurado.";0;2
33;CPDC8508;"2022-07-17 20:59:40";3;0;"porque lo puedo hacer en cualquier sitio";1;;4;"me siento obligado a hacerlo";0;"como he dicho esto me obliga a prestar atencion y a hacerlo";0;1;;4;4;"muy facil  ponerlo mas dificil";4;4;" para mi es  facil";4;4;"para mi este ejercicio es muy facil";3;3;"algunas veces se me escapaba el puntero por lo junto de los circulos";2;4;"porque en mi telefono se se me escapaba de pantalla";3;2;"en el ejercicio 6 para mi muy complicado";3;2;"algunas veces las cartas son muy complicdas";0;0;0;" a mi no me gusta porque es muy distinto a los otros";3;3;"algunas veces no me deja terminar en el nivel 6";3;3;"complicado en los niveles altos";4;2;"en elnivel n me dejaba terminar, se salia antes de tiempo";4;4;"muy facil";3;4;;4;4;"para mi facil";3;3;;"en general estoy conforme practicamebte con todo.mejorar los fallos. sopa de letras y logogramas que ni deja terminar";0;2
34;CPDC8301;"2022-07-18 11:04:17";4;1;"Es más accesible para mi en mi tiempo libre.";0;smartbrain.;4;"He incluido hacer la  actividad diariamente en mi  tiempo libre.";0;"retengo mejor los  números de teléfonos que me dictan.";0;0;3;4;3;"que no se quede enganchado en alguna tecla,el ejercicio antes de terminar su ejecución.sería interesante aumentar la dificultad en nivel 6.";4;3;"sería interesante aumentar la dificultad en nivel 6.";4;3;"podría aumentarse la dificultad en el nivel 6.";4;3;"Sería interesante aumentar la dificultad en nivel 6.";4;4;"Este ejercicio me parece muy interesante y muy completo, ha sido uno de mis preferidos.";4;3;"Sería interesante aumentar la dificultad en nivel 6.";4;4;"muy interesante y muy completo.sería interesante aumentar la dificultad en nivel 6.";4;4;1;"Me ha supuesto un reto muy interesante.Es complicado  la colocación exacta de los objetos de menor tamaño.";4;4;"Sería interesante aumentar la dificultad en nivel 6.La segunda parte del ejercicio,identificar las palabras entre una lista mayor es muy interesantey completa el ejercicio muy bien.";3;3;"me ha gustado mucho y aunque no lo he conseguido siempre es uno de mis favoritos.";4;4;"es fantastico! me ha gustado mucho,he notado mejoría en mi velocidad del lenguaje.";4;4;"Sería interesante aumentar la dificultad en nivel 6.";4;4;"Sería interesante aumentar la dificultad en nivel 6.";4;4;"Sería interesante aumentar la dificultad en nivel 6.";4;4;"Sería interesante aumentar la dificultad en nivel 6.";"sería interesante que la fluidez en la ejecución fuese mayor sin que se quedase bloqueado en algunos ejercicios.";0;2
35;CPDC2433;"2022-07-19 08:40:49";4;2;"He elegido este dispositivo por que se ve mejor";;;4;"Me ha ayudado en lograr más atención de memoria más agilidad .";0;Lenguaje,cartas;;1;4;4;4;;4;4;;4;4;;4;4;;4;4;;4;4;;3;3;;4;4;0;;4;4;;4;4;;3;3;"En el nivel 6 hay demasiadas palabras para buscar.";4;4;;3;3;;4;4;;4;4;;;0;2
36;CPDC2551;"2022-07-19 11:23:33";3;0;"Disponibilidad en cualquier sitio";0;"entrenador cerebral  neuronation  cognifit";2;"porque por falta de tiempo no lo he hecho todos los días, sobre todo lo he hecho en fines de semana";0;"cálculo  observación  memoria";0;0;4;4;1;"Este me ha resultado extremadamente más fácil que los demás ejercicios. En niveles superiores se podría buscar dos figuras a la vez o jugar con las formas y los colores";4;1;"Este me ha resultado extremadamente más fácil que los demás ejercicios. Buscar dos números a la vez según aumenta las semanas.";3;4;"me parece muy adecuado";4;4;"Al hacerlo en el móvil a veces se le daba sin querer a otro por el grosor del dedo.";3;4;"Se podría intercalar con niveles que se vean todas las cartas y luego se oculten y haya que recordar dónde estaban.";3;4;"El último nivel me ha resultado difícil, a pesar de que se repetía dos veces";3;3;"los últimos niveles era muy difícil ya que eran muy diferentes las cartas y costaba hacerse alguna regla nemotécnica";2;4;0;"Este era muy divertido y a la vez desesperante porque había que tocar la pantalla ""exactamente"" dónde estaba el objeto o a veces había que poner un objeto antes que otro, por ejemplo el sofá antes que un personaje, si no lo consideraba fallo. Y eso resultaba muy complejo. A veces el objeto que se ocultaba se encontraba detrás del botón de objetos o personajes por lo que no podías tocar la pantalla sin activarlo.";4;4;"me parece muy adecuado";1;1;"Este ha tenido una progresión de complejidad demasiado elevada. en los últimos niveles eran palabras con demasiadas letras y resultaba muy complejo. Yo en el último nivel he tenido que descartar 9 palabras porque no era capaz de encontrar la combinación. yo reduciría el nº de letras.  Podría tener un botón de siguiente para poder pasar a otra palabra en el caso de que no se consiga averiguar una, en vez de tener que salir y volver a entrar desde mi progreso.";4;4;"adecuado en cuanto al nº de palabras a conseguir con los diferentes niveles";4;4;"Algún refrán está incompleto pero en general eran bastante fáciles al principio y se fueron complicando al final.  Podría tener un botón de siguiente para poder pasar a otro refrán en el caso de que no se consiga averiguar uno, en vez de tener que salir y volver a entrar desde mi progreso.";4;3;"En general la secuencia se averiguaba fácil cuando se cogía el tranquillo, pero en los últimos niveles encontré un par de secuencias que no fui capaz de encontrarle sentido. Las flechas despistan porque a veces la secuencia era en vertical no en horizontal. Yo cambiaría el sentido de las flechas en los niveles iniciales.";4;3;"En los últimos niveles me di cuenta que no hacía falta pensar en la letra y el número porque sabiendo el color que tocaba y el número se localizaba fácil, sin embargo en los niveles iniciales calculaba todo. Yo pondría más fichas con la solución en diferentes colores para obligar a calcular tanto el color, como la letra, como el número.";3;4;"Adecuado porque el cálculo numérico mentalmente no se suele utilizar, actualmente. Lo hacemos con calculadora u ordenador";"Me ha parecido muy interesante y útil, pero creo que son niveles muy complejos para personas mayores y que tengan comienzo de deterioro cognitivo. No sé si la plataforma calcula según el nº de aciertos en un ejercicio si puede pasar de nivel o no, porque creo que tendrían que hacer varias semanas en el mismo ejercicio, antes de progresar de nivel.  ";0;2
37;CPDC3856;"2022-07-19 14:07:07";4;0;"Es el que tengo mas a mano siempre ";1;;2;;1;;0;1;4;4;4;;4;4;;4;4;;4;4;;4;4;;4;4;;4;4;;2;2;1;;4;4;;4;4;;4;4;;3;3;;3;3;;4;;;4;4;;;0;2
38;CPDC3524;"2022-07-19 15:26:20";3;2;"mayor comodidad, mejor visión";1;;3;"por el compromiso de finalizar el programa";0;"Hay ejercicios diversos: atención, lenguaje, matemáticas, recuerdo...., que de otra manera no se ejercitaría";0;1;4;4;3;;4;3;;4;3;;4;3;;3;3;;4;3;;3;3;;3;3;0;"Es demasiado concreto el lugar de posicionamiento.";3;3;;3;3;"Las teclas de salir y comprobar, están muy cerca de los lugares para colocar as letras y en ocasiones, sin querer, las puedes marcar y salir del ejercicio";3;3;"Las teclas de terminar y añadir, están muy cerca de los espacios para colocar las letras y en ocasiones, sin querer, las puedes marcar y salir del ejercicio";;;"La tecla de salir, está muy cerca del lugar para colocar las letras y en ocasiones, sin querer, la puedes marcar y salir del ejercicio";4;3;;4;3;;4;3;;"Considerar la posibilidad de que la plataforma ofreciera más ejemplos, en movimiento, de cada uno de los ejercicios";0;2
39;CPDC9968;"2022-07-20 11:20:23";2;2;"Por comodidad";1;;0;;1;;1;1;4;0;0;;2;2;;0;2;;2;2;;2;2;;4;4;;3;3;;0;2;0;;2;2;;2;2;;2;2;;2;2;;3;3;;2;2;;2;2;;;1;2
40;CPDC9233;"2022-07-20 18:38:16";3;1;"Me resulta cómodo ";0;"Ejercicio de idiomas";3;"No se si es tiempo suficiente";0;"Intento fijarme más en las cosas ";0;0;3;4;3;"Me ha resultado fácil ";4;3;"Este también me ha parecido fácil ";4;3;"He tardado más tiempo en realizarlo";4;3;"Ha sido bastante fácil ";3;3;"Aquí he dudado bastante ";3;3;"No ha sido el más complicado";4;3;"Ha sido fácil ";4;3;1;"Me ha parecido bien , el nivel 6 ha sido más difícil ";4;3;"No he sido lo suficientemente rápido ";4;3;"Creo que ha estado bien ";4;3;"Me ha gustado mucho";4;3;"Algunos me han resultado desconocidos";4;3;"Al principio me resultó más complicado";4;3;"Me ha gustado bastante ";4;3;"Aquí creo que puedo mejorar";"Me ha parecido bastante interesante y entretenido";0;2
41;CPDC9076;"2022-07-20 18:41:29";3;2;"Tengo mejor visibilidad en los ejercicios, pantalla más grande y utilizo teclado y ratón";1;;2;"He hecho ejercicios de cálculo que hacía mucho no practicaba por el uso de calculadoras, fijarme más en detalles en las imágenes que no suelo hacernor";0;"En atención por ejemplo, fijarme más en detalles y buscar palabras, me he dado cuenta que me viene bien hacer más anagramas, buscar otras palabras a partir de una inicial";0;0;4;4;4;;4;4;;3;4;;4;4;;2;2;"Dejaría algo más de tiempo para memorizar las parejas que van a salir en el ejercicio";2;2;"En los primeros niveles me he sentido bien haciéndolo, pero creo que hay un salto importante de dificultad en los niveles 5 y 6";3;4;;2;2;1;"Tengo la sensación de que el acierto lo da cuando sitúas exactamente el sitio donde se encontraba el objeto desaparecido, con poco margen, a veces ha sido un poco frustrante por ese motivo";4;4;;2;3;"Revisar el diccionario porque alguna palabra no la ha dado válida cuándo sí lo era. Por ejemplo ""Bastante"" , puse ""tentabas"" y no la dió por válida";3;3;;3;3;;3;4;;4;4;;3;3;;"Tener alguna valoración de resultados, porque aunque en ""El progreso"" puedes ir viendo los fallos y el tiempo empleado no sabes si es mucho o poco";0;2
42;CPDC1396;"2022-07-20 19:19:54";4;1;"Normalmente utilizo el ordenador, pero he estado de viaje por lo que he estado utilizando la tableta";1;;4;"la utilización de estos ejercicios hace que tengas una memoria mas activa";0;"olvidos ocasionales del día a día";0;0;3;4;4;"ejercicio sencillo de hacer";4;4;"a veces aunque se señalara el número o letra correcta tardaba en quedar señaladp";4;4;"lo mismo que el anterior";4;4;"muy sencillo";3;3;"para este ejercicio quizás la progresión debería ser mas lenta";4;4;;4;4;"al principio un poco dificultoso de entender, pero una vez aclarado resultaba entretenido";2;2;1;"uno de los ejercicios que mas me ha costado hacer";4;4;"al final era un poco complicado, pero era bueno tener que esforzarse encontrando las palabras.";2;2;"uno de los que mas me ha costado, quizás tenga que ampliar mi vocabulario";2;2;"me ha costado menos que el anterior pero para mi de los que mas dificultad ha tenido";4;4;"este me ha gustado pues soy muy refranera, pero en algunos aunque sabia el refrán la aplicación no me los daba como válidos";4;4;"lo mismo que el anterior de cartas, una vez comprendida la secuencia no era excesivamente difícil";4;4;;4;4;"ejercicio muy bueno para ejercitar la memoria solo era cuestión de seguir la secuencia.";"me parece muy interesante y práctica, nos ayuda a ejercitar la memoria de una manera habitual cosa que no solemos hacer en el día a día";0;2
43;CPDC2199;"2022-07-21 09:43:56";3;2;"Con el móvil tenía dificultades";1;;2;;0;"Concentración y cálculo mental";0;0;4;4;3;"No me ha supuesto ninguna dificultad ";4;4;;4;4;;4;4;;3;4;;1;4;"Atención visual y auditiva junto a la rapidez del ejercicio me resulta dificil";2;4;;3;3;1;;4;4;;4;4;;4;4;;4;4;;4;4;;4;4;;3;4;;;0;2
44;CPDC6646;"2022-07-21 11:08:47";4;2;"Me era más cómodo y podía prestar más atención a los ejercicios";1;"Crucigramas, geroglíficos, sudokus...";4;"Me noto más despierto y proclive a utilizarla";0;"He ido notando una mejora poco a poco en aspectos como: memorizar, asociar, operaciones núméricas. En fin, una mejora sustancial en hábitos intelectivos.";0;0;4;4;4;"Es un ejercicio fácil y tienes la recompensa de saber acabarlo correctamente. Me gusta.";4;4;"Es igual al anterior. Fácil y tienes la recompensa de poder acabarlo correctamente.";4;4;"Igual que los dos primeros. Fácil y te recompensa emocionalmente porque se suele acabar correctamente.";4;4;"Bastante fácil. Interesante porque te obliga a mantener la atención durante un tiempo, pero se hace bien y te sientes bien cuando lo acabas bienl.";2;2;"Lo he encontrado bastante difícil. Se puede hacer pero con bastantes tentativas y bastantes errores. No está mal.";0;0;"Horrible. Me pareció muy, muy difícil de repetir las 7 variantes de colores.  Anecdóticamente pude acabarlos con éxito porque me ayudó una nieta de 11 años. Lo hicimos al alimón, recordando cada uno 3 y 4 cambios de color respectivamente.";3;3;"Buen ejercicio, en mi opinión. Te obliga a prestarle mucha atención y es muy instructivo . Me gustó.";3;2;1;"No es fácil pero es interesante. Te fuerza a mantener mucho la atención y utilizar la memoria después. Ejercicio interesante.";4;4;"Interesante. Muy trabajoso en el nivel 6 pero merece la pena. Aumenta tu capacidad de observación. Me gustó.";3;3;"Interesante. Te obliga a pensar y repensar qué nuevas palabras pueden ir formándose. No me desagradó. Aunque a veces no me parecía fácil del todo.";3;3;"Muy parecido al anterior. No es fácil de hacer pero se puede trabajar. Tienes que estar descansado y despierto mentalmente.";4;4;"Muy fácil. Me gustaba hacerlos. Ejercicio de los más fáciles que se muestran en la plataforma.";4;4;"Buen ejercicio en mi opinión. Te obliga a estar muy atento y descubrir cuál es la secuencia de las cartas. Unos días me parecía fácil y otros no. Debes estar muy descansado y atento.";4;4;"Interesante. No es muy difícil una vez que te acostumbres al ejercicio. No está mal.";2;3;"No me pareció fácil. Poco a poco hacía los ejercicios mejor. Es muy interesante. no obstante.";"Me ha encantado la plataforma! Sinceramente creo que merece la pena.  Creo que debían diversificarse más los ejercicios. Encontrar otros que te obliguen a memorizar, relacionar, asociar, calcular, etc.  Siento que se haya acabado y les pediría que continúen y podamos acceder a ellos a través de la Red. Mi apoyo total a la plataforma y, por favor, infórmenme de cualquier tipo de actividad que se haga en el futuro en este sentido.";0;2
45;CPDC3605;"2022-07-21 11:12:45";4;2;"Me manejo mejor en el ordenador para hacer los ejercicios ";1;"NO HE UTILIZADO NUNCA NINGUNA APLICACIÓN PARA MEJORA DE MEMORIA";4;"PORQUE LAS REALIZABA DIARIAMENTE Y CADA SEMANA SE AUMENTABA EL NIVEL DE LA DIFICULTAD";0;"CONCENTRACIÓN ";0;0;4;4;4;"NO SE ME OCURRE NINGUNA SUGERENCIA, ME PARECÍA SENCILLO";4;4;"ME RESULTABA FÁCIL DE REALIZAR, AUNQUE ENCUENTRO QUE EL NIVEL DE DIFICULTAD ES MAYOR QUE EL ANTERIOR EJERCICIO";4;4;"MAS DIFÍCIL DE VER LAS FICHAS QUE EN LOS ANTERIORES EJERCICIOS, PERO ME ESTIMULABA SU BÚSQUEDA. A MÍ ME GUSTABA MUCHO HACERLO";4;4;"AQUÍ SE REQUERÍA DE MUCHA CONCENTRACIÓN, PERO A MÍ ME GUSTABA MUCHO";2;2;"EN LAS ULTIMAS SEMANAS HABÍA MUCHAS FICHAS QUE CASAR Y ME RESULTABA DIFICULTOSO RECORDAR DONDE ESTABAN LAS PAREJAS";1;3;"NO SÉ PORQUE, PERO SE ME HA DADO FATAL REALIZAR ESTE EJERCICIO. ME RESULTABA COMPLICADO RECORDAR LA SECUENCIA DE SONIDO Y COLOR";4;4;"A VECES TENÍA PROBLEMAS PARA RECORDAR LAS CARTAS.";3;4;0;"QUE CUANDO QUERÍAS COLOCAR UN OBJETO O UNA PERSONA EN SU LUGAR, SI NO MARCABAS EL PUNTO CORRECTO, DABA FALLO.";4;4;"ESTOS EJERCICIOS ME GUSTABAN MUCHO. LOS ENCONTRABA ESTIMULANTES PARA ENCONTRAR LAS PALABRAS";3;4;"A VECES CON LA PALABRA DADA, ME ERA MUY DIFÍCIL ENCONTRAR OTRA CON LAS MISMAS LETRAS";4;4;"ESTE EJERCICIO ME GUSTABA MUCHO. ME ENCANTABA BUSCAR PALABRAS CON LAS LETRAS QUE ME DABAN";4;4;"ESTE ERA DIVERTIDO. ";4;4;"ME GUSTABA ENCONTRAR LAS DIFERENTES SECUENCIAS QUE TENÍAN LAS CARTAS, AUNQUE A VECES ERA COMPLICADO (EN LAS ULTIMAS SEMANAS)";4;4;"SE REQUERÍA MUCHA CONCENTRACIÓN, PERO ME GUSTABA";3;4;"ESTE ME RESULTABA DIFÍCIL PORQUE NO SUELO HACER CÁLCULOS MENTALES. ME HA VENIDO BIEN PARA PRACTICAR ";"EN GENERAL ME HAN PARECIDO EJERCICIOS ADECUADOS Y DE CLASES MUY VARIADAS. INCREMENTANDO LA DIFICULTAD CADA SEMANA.  EL PROGRAMA, EN GENERAL, ME PARECE MUY ACERTADO";0;2
46;CPDC1549;"2022-07-21 11:22:25";3;0;comodo;1;;4;instructivo;0;mamastentaas;0;1;0;4;4;"esta bien";4;4;"esta bien";4;4;ninguna;4;4;"esta bien";2;2;"este regular";0;0;entiendolono;3;3;;2;2;0;pocaa;4;4;"esta bien";2;2;meseo;2;2;atencionas;4;4;;0;0;"no lo entiendo";;;;4;4;"todo bien";"aayudelguien  que";0;2
48;CPDC8031;"2022-07-21 20:15:30";3;2;"Comodidad del teclado y tamaño de la pantalla.";1;;2;"Para mí era poco tiempo para completar cada nivel";1;;0;0;4;4;4;"Me ha parecido el más fácil. Apenas noté diferencia al subir de nivel.";3;4;"Quizá variar un poco el diseño. Marea un poco a veces tener que fijar tanto la vista";4;4;;4;4;;3;4;;4;4;"No explican que se repite dos veces la secuencia, y al principio no sabía cuando podía empezar";4;4;;4;4;0;"Me ha parecido el más dificil. Demasiados detalles";4;4;;4;4;;4;4;;4;4;;4;4;;4;4;"Me ha gustado mucho";4;4;;"Dejar algún día más entre niveles, por si alguno no podemos hacer el ejercicio";0;2
49;CPDC9584;"2022-07-22 10:54:10";3;2;"POR COMODIDAD";1;;3;;1;;0;1;0;3;3;;4;4;;3;4;;4;4;;3;;;3;;;3;4;;3;3;0;;;4;;4;4;;3;3;;;3;;3;4;;4;4;;4;4;;;0;2
